                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1767,                 3.3615,                 1.6196,                0.00928,                0.84337,                0.25569,                0.13862,                 1.2793,                 4.2107,                 1.9007,               0.003268,               0.003268,               0.003268
                      2,                 1.0663,                 2.2254,                 1.4895,                0.40656,                0.34755,                0.31546,                0.16651,                 1.4234,                  3.265,                 2.0469,              0.0065948,              0.0065948,              0.0065948
                      3,                 1.1458,                 2.0054,                  1.551,                0.13599,                0.24257,                0.10659,                0.03702,                 2.3335,                 3.3519,                  3.099,               0.009915,               0.009915,               0.009915
                      4,                 1.2384,                 1.9362,                 1.6505,                0.30587,                0.13843,                 0.0743,                0.03237,                 2.3615,                 4.9212,                 3.7021,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.2096,                 1.6358,                 1.6112,                0.57281,                0.23499,                0.21123,                0.09205,                 1.8907,                 3.5309,                 2.7498,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.1768,                 1.4718,                 1.5613,                0.54284,                0.41821,                0.41423,                0.22293,                 1.4777,                 1.8995,                 2.2167,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.1459,                 1.3583,                 1.5331,                0.41729,                 0.3535,                0.34895,                0.17937,                  1.596,                 2.4936,                 2.3673,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.1412,                 1.2807,                 1.5283,                0.56523,                0.52296,                0.53984,                0.29954,                 1.3705,                 1.6369,                 1.9637,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.0934,                 1.2265,                 1.5002,                0.53255,                0.36357,                0.34245,                0.16675,                 1.6965,                 2.2105,                 2.3972,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.0656,                 1.1502,                 1.4693,                0.72168,                0.50721,                0.57112,                0.34629,                 1.3839,                 1.4746,                 2.0319,              0.0099208,              0.0099208,              0.0099208
                     11,                  1.059,                 1.1016,                 1.4679,                0.59775,                0.49479,                0.44668,                0.26628,                 1.4812,                 1.9405,                 2.1302,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.0375,                 1.0417,                 1.4384,                0.60309,                0.60391,                0.63979,                 0.3772,                 1.2685,                 1.4835,                  1.857,               0.009901,               0.009901,               0.009901
                     13,                 1.0327,                 1.0338,                 1.4427,                0.71622,                0.71386,                0.74278,                0.44333,                 1.2625,                 1.1058,                 1.8599,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.0049,                 1.0146,                 1.4182,                0.65442,                0.60014,                0.66881,                 0.4296,                 1.1862,                  1.255,                 1.7747,              0.0098812,              0.0098812,              0.0098812
                     15,                0.99013,                0.97239,                  1.412,                0.74551,                0.68189,                0.75801,                0.47759,                 1.2272,                 1.0763,                  1.787,              0.0098713,              0.0098713,              0.0098713
                     16,                0.99045,                0.96517,                 1.4068,                 0.7705,                 0.6588,                0.71091,                 0.4525,                 1.2369,                 1.0901,                 1.7897,              0.0098614,              0.0098614,              0.0098614
                     17,                0.97665,                0.92679,                 1.3844,                0.81733,                0.76702,                0.83084,                0.55938,                 1.1409,                0.91669,                  1.696,              0.0098515,              0.0098515,              0.0098515
                     18,                0.96274,                0.88759,                 1.3794,                 0.7093,                0.67032,                0.73049,                0.46615,                 1.2294,                  1.113,                  1.808,              0.0098416,              0.0098416,              0.0098416
                     19,                0.96902,                0.90125,                  1.385,                0.81143,                0.72176,                0.80672,                0.51944,                 1.0703,                0.91409,                 1.6347,              0.0098317,              0.0098317,              0.0098317
                     20,                0.96868,                0.88406,                 1.3813,                0.82863,                0.71747,                0.80115,                 0.5284,                 1.1115,                0.88783,                 1.6723,              0.0098218,              0.0098218,              0.0098218
                     21,                0.92822,                0.84961,                 1.3556,                0.75674,                0.71869,                0.78295,                0.54113,                 1.1102,                0.98097,                 1.6542,              0.0098119,              0.0098119,              0.0098119
                     22,                0.93408,                0.84679,                 1.3596,                0.80697,                0.76829,                0.84459,                0.57555,                 1.0512,                 0.8446,                 1.6264,               0.009802,               0.009802,               0.009802
                     23,                0.92978,                 0.8432,                 1.3549,                0.82822,                0.72735,                0.82605,                0.56856,                 1.0654,                0.97864,                  1.635,              0.0097921,              0.0097921,              0.0097921
                     24,                0.92723,                0.84787,                  1.358,                 0.7936,                0.78037,                0.81752,                0.54939,                 1.1119,                0.89402,                 1.6671,              0.0097822,              0.0097822,              0.0097822
                     25,                0.91547,                0.81469,                 1.3469,                0.76043,                0.75638,                 0.8136,                0.57121,                 1.0365,                0.86304,                 1.6005,              0.0097723,              0.0097723,              0.0097723
                     26,                0.92144,                0.80914,                 1.3449,                 0.8591,                0.78659,                0.86354,                0.58338,                 1.0335,                0.82873,                  1.622,              0.0097624,              0.0097624,              0.0097624
                     27,                0.91041,                0.80628,                 1.3412,                0.86382,                0.75405,                0.86231,                0.59379,                 1.0771,                0.82157,                 1.5963,              0.0097525,              0.0097525,              0.0097525
                     28,                0.88654,                0.77271,                 1.3271,                0.83581,                0.83787,                0.88291,                 0.6273,                0.99916,                0.77038,                 1.5537,              0.0097426,              0.0097426,              0.0097426
                     29,                0.87831,                0.79632,                 1.3286,                0.83094,                0.75022,                0.83732,                0.56332,                 1.0798,                0.93856,                 1.6615,              0.0097327,              0.0097327,              0.0097327
                     30,                0.87797,                0.76435,                 1.3159,                0.81624,                0.80902,                0.86695,                0.61589,                 0.9967,                0.76901,                 1.5479,              0.0097228,              0.0097228,              0.0097228
                     31,                0.87627,                 0.7548,                 1.3126,                0.88876,                0.83114,                0.90562,                0.62487,                 1.0225,                0.68359,                 1.5739,              0.0097129,              0.0097129,              0.0097129
                     32,                0.86451,                0.74939,                 1.3062,                0.88928,                0.76508,                0.87043,                0.64364,                0.97021,                0.71502,                  1.529,               0.009703,               0.009703,               0.009703
                     33,                0.86677,                0.73041,                 1.3107,                0.77547,                0.76036,                0.81274,                0.54363,                 1.2085,                 1.0016,                 1.7669,              0.0096931,              0.0096931,              0.0096931
                     34,                0.86947,                0.73504,                 1.3074,                0.83786,                0.81976,                0.85285,                0.60686,                0.96437,                0.73413,                 1.5172,              0.0096832,              0.0096832,              0.0096832
                     35,                 0.8554,                0.71814,                 1.3038,                0.87246,                0.80331,                0.87269,                0.62777,                0.95574,                0.71679,                 1.5287,              0.0096733,              0.0096733,              0.0096733
                     36,                0.86154,                0.73492,                 1.3038,                0.86236,                 0.8364,                0.91034,                 0.6763,                0.91068,                0.65892,                 1.4807,              0.0096634,              0.0096634,              0.0096634
                     37,                0.83932,                0.71529,                 1.2887,                0.86022,                0.82503,                0.89414,                0.64528,                0.93868,                0.69929,                 1.4728,              0.0096535,              0.0096535,              0.0096535
                     38,                0.86063,                0.70424,                 1.2986,                0.80822,                0.84396,                0.89119,                0.65526,                  0.942,                0.70651,                 1.4813,              0.0096436,              0.0096436,              0.0096436
                     39,                0.83919,                0.69779,                   1.28,                0.79165,                0.84971,                0.89743,                0.64072,                0.95013,                0.68867,                 1.4977,              0.0096337,              0.0096337,              0.0096337
                     40,                0.83022,                0.70099,                   1.29,                0.80644,                 0.8275,                0.88216,                0.64082,                0.98816,                0.77167,                 1.5344,              0.0096238,              0.0096238,              0.0096238
                     41,                0.83464,                0.69432,                 1.2821,                0.88814,                0.83496,                0.90716,                0.65678,                0.94967,                0.66301,                 1.4842,              0.0096139,              0.0096139,              0.0096139
                     42,                0.83213,                0.67915,                 1.2847,                 0.8649,                0.84969,                0.91539,                0.69003,                0.92016,                0.62686,                 1.4738,               0.009604,               0.009604,               0.009604
                     43,                0.83673,                0.69099,                 1.2844,                0.87758,                0.83226,                0.91255,                0.67852,                0.92742,                0.63516,                 1.4754,              0.0095941,              0.0095941,              0.0095941
                     44,                0.81088,                0.66912,                 1.2704,                 0.8867,                 0.8068,                0.87091,                0.64429,                0.92728,                0.71161,                 1.4844,              0.0095842,              0.0095842,              0.0095842
                     45,                0.81455,                0.66369,                 1.2643,                0.85943,                 0.8561,                0.91656,                0.69587,                0.90892,                0.63842,                 1.4461,              0.0095743,              0.0095743,              0.0095743
                     46,                0.81317,                0.67134,                 1.2662,                0.87122,                0.81588,                0.89264,                0.65079,                 1.0107,                0.73044,                 1.5351,              0.0095644,              0.0095644,              0.0095644
                     47,                0.80598,                0.66033,                  1.261,                0.89507,                0.80899,                0.88848,                  0.634,                0.94104,                0.71058,                 1.4866,              0.0095545,              0.0095545,              0.0095545
                     48,                0.79246,                0.64022,                 1.2569,                0.87069,                0.88334,                0.92624,                 0.7023,                0.92395,                0.63158,                 1.4654,              0.0095446,              0.0095446,              0.0095446
                     49,                0.80167,                0.64896,                 1.2502,                0.91335,                0.83266,                 0.9221,                0.69193,                 0.8802,                0.60598,                 1.4468,              0.0095347,              0.0095347,              0.0095347
