                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0685,                  3.061,                 1.5359,                0.56325,                0.40837,                0.46953,                0.25035,                 1.2969,                 3.3921,                 1.8748,                 0.0033,                 0.0033,                 0.0033
                      2,                0.93673,                 1.8962,                 1.4089,                0.56355,                0.54187,                0.55806,                0.28974,                  1.372,                 2.0783,                 1.9932,              0.0066268,              0.0066268,              0.0066268
                      3,                0.98501,                 1.6181,                 1.4354,                 0.2046,                0.26066,                0.16783,                0.07438,                 1.8715,                 2.7766,                 2.5228,              0.0099469,              0.0099469,              0.0099469
                      4,                 1.0371,                  1.438,                  1.476,                0.28001,                0.31068,                 0.1778,                0.08148,                 1.9316,                  2.824,                 2.6889,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.0074,                 1.2537,                 1.4514,                0.43363,                0.39985,                0.35023,                0.16774,                  1.684,                 1.9462,                 2.3179,              0.0099703,              0.0099703,              0.0099703
                      6,                0.95134,                  1.107,                 1.3973,                0.58456,                0.51038,                0.54691,                0.28807,                 1.4395,                 1.6691,                 1.9908,              0.0099604,              0.0099604,              0.0099604
                      7,                0.92514,                 1.0262,                 1.3765,                 0.6753,                0.56348,                0.60738,                0.33645,                 1.4182,                 1.7154,                  2.041,              0.0099505,              0.0099505,              0.0099505
                      8,                0.88959,                0.95806,                 1.3478,                0.70799,                0.67722,                0.72911,                0.45104,                 1.3152,                 1.3693,                 1.8645,              0.0099406,              0.0099406,              0.0099406
                      9,                0.86936,                0.91137,                 1.3326,                0.68328,                0.59742,                 0.6727,                0.38014,                 1.4083,                  1.422,                 1.9816,              0.0099307,              0.0099307,              0.0099307
                     10,                0.85255,                0.86447,                 1.3167,                0.70152,                0.68891,                0.69695,                0.42758,                 1.2495,                 1.0727,                 1.7566,              0.0099208,              0.0099208,              0.0099208
                     11,                0.83624,                0.84342,                 1.3054,                  0.753,                0.70867,                0.72797,                0.42911,                 1.2616,                   1.19,                 1.8466,              0.0099109,              0.0099109,              0.0099109
                     12,                0.82165,                 0.8158,                  1.295,                  0.774,                 0.7331,                0.79803,                0.49931,                 1.1852,                 1.0182,                 1.7156,               0.009901,               0.009901,               0.009901
                     13,                0.79456,                 0.7747,                 1.2757,                0.81403,                0.75394,                0.83354,                0.54078,                 1.1623,                0.92583,                 1.6918,              0.0098911,              0.0098911,              0.0098911
                     14,                 0.7899,                0.77389,                 1.2738,                0.81967,                 0.7302,                0.81723,                0.52982,                 1.1237,                0.98823,                 1.6618,              0.0098812,              0.0098812,              0.0098812
                     15,                0.78046,                0.74789,                 1.2634,                0.67432,                0.65213,                0.67768,                0.42731,                 1.1972,                 1.0257,                 1.6844,              0.0098713,              0.0098713,              0.0098713
                     16,                0.76987,                0.73962,                 1.2604,                0.79922,                0.76123,                0.82471,                0.52909,                 1.1732,                0.94121,                 1.7537,              0.0098614,              0.0098614,              0.0098614
                     17,                0.75479,                 0.7167,                 1.2496,                0.83991,                0.76778,                0.83743,                 0.5606,                  1.085,                0.79141,                 1.6129,              0.0098515,              0.0098515,              0.0098515
                     18,                0.75242,                0.69969,                 1.2445,                0.78081,                0.73582,                0.77384,                0.50302,                 1.1131,                0.93117,                 1.6387,              0.0098416,              0.0098416,              0.0098416
                     19,                0.74653,                0.69552,                 1.2407,                0.85809,                0.80585,                0.88217,                0.59398,                 1.1306,                0.77879,                 1.6454,              0.0098317,              0.0098317,              0.0098317
                     20,                0.73488,                0.67749,                 1.2341,                0.84045,                0.75674,                 0.8453,                0.57324,                 1.0449,                0.82597,                 1.5666,              0.0098218,              0.0098218,              0.0098218
                     21,                0.73486,                0.67335,                 1.2282,                0.86728,                0.82927,                0.88281,                0.61679,                  1.001,                0.71614,                 1.5213,              0.0098119,              0.0098119,              0.0098119
                     22,                0.71909,                0.66522,                 1.2188,                0.79532,                0.79498,                0.84644,                0.56664,                 1.0695,                0.78115,                 1.5566,               0.009802,               0.009802,               0.009802
                     23,                0.71011,                0.64799,                 1.2128,                0.82872,                0.82844,                0.84754,                 0.5926,                 1.0889,                0.74427,                 1.5696,              0.0097921,              0.0097921,              0.0097921
                     24,                0.70168,                 0.6353,                  1.205,                0.85765,                0.82527,                0.89347,                0.66007,                0.95515,                0.67203,                 1.4909,              0.0097822,              0.0097822,              0.0097822
                     25,                0.70317,                0.63201,                 1.2088,                0.86392,                0.81251,                0.87017,                0.60954,                 1.0758,                0.75437,                 1.5973,              0.0097723,              0.0097723,              0.0097723
                     26,                0.70219,                0.62385,                 1.2047,                0.79752,                0.71918,                0.80034,                 0.5505,                 1.0726,                0.89888,                 1.6276,              0.0097624,              0.0097624,              0.0097624
                     27,                0.69922,                 0.6136,                 1.2055,                0.87598,                0.86349,                0.90867,                0.64313,                 1.0488,                0.66955,                 1.5539,              0.0097525,              0.0097525,              0.0097525
                     28,                0.68167,                0.61004,                 1.1904,                0.87198,                0.84391,                0.89672,                0.64389,                0.97682,                 0.6367,                 1.4689,              0.0097426,              0.0097426,              0.0097426
                     29,                0.68326,                0.60898,                 1.1951,                0.87888,                0.84133,                0.89332,                0.65685,                0.98275,                0.65029,                 1.4694,              0.0097327,              0.0097327,              0.0097327
                     30,                0.68768,                0.61336,                 1.1983,                0.87069,                0.82135,                0.90143,                 0.6419,                 0.9782,                0.65768,                 1.4976,              0.0097228,              0.0097228,              0.0097228
                     31,                0.68004,                0.59582,                 1.1919,                0.87941,                0.85214,                0.90604,                0.65784,                0.96297,                0.64154,                 1.4634,              0.0097129,              0.0097129,              0.0097129
                     32,                 0.6759,                0.59227,                 1.1873,                0.81583,                 0.8653,                0.89555,                0.61624,                 1.0165,                0.68548,                 1.4956,               0.009703,               0.009703,               0.009703
                     33,                 0.6663,                0.58875,                 1.1813,                0.87699,                0.79696,                0.87394,                 0.5891,                 1.0404,                0.70101,                 1.5981,              0.0096931,              0.0096931,              0.0096931
